Region                  8core       15core    30core      60core      120core
user                    76.34733237 59.2200916  52.69772289 39.69717778 27.13887126
system                  1.605984138 1.279000875 0.9794250938    0.5190172726    0.3319311842
idle                    22.04668349 39.50090753 46.32285201 59.78380495 72.52919755
