Region                  8core       15core    30core      60core      120core
user                    91.22188334 86.6666421  81.46443489 65.91970335 37.65715647
system                  2.942581321 3.083980604 2.303305508    2.024711532    0.932133175
idle                    5.835535339 10.24937729 16.2322596 32.05558512 61.41071036
