Region                  8core       15core    30core      60core      120core
user                    74.50799398 52.63111947  65.88944134 52.74436517 35.27287948
system                  1.38281474 1.579477537 1.912249526    1.287336097    1.053335261
idle                    24.10919128 45.789403 32.19830913 45.96829873 63.67378526
