Region                  8core       15core    30core      60core      120core
user                    47.41819435 48.45330739  27.49654312 22.47520395 20.46089372
system                  6.318261132 7.33463035 3.230919699    2.97007016    3.148183247
idle                    46.26354452 44.21206226 69.27253718 74.55472589 76.39092303
