Region                  8core       15core    30core      60core      120core
user                    57.2491957 68.70223343  55.90893754 44.33902858 34.86831122
system                  2.817671426 3.364064703 2.355292891    1.943743938    1.005264212
idle                    39.93313287 27.93370186 41.73576957 53.71722749 64.12642456
